e,an,bnd1,ang1,cmdt1,cmdb1,cmod1,cmevs1,cmevl1,bnd2,cmdt2,cmdb2,cmod2,cmevs2,cmevl2,bnd3,cmdt3,cmdb3,cmod3,cmevs3,cmevlbnd3,bnd4,cmdt3,cmdb3,cmod3,cmevs3,cmevl3
38.1175927,6,1.086,118.1,36.858,0.500,5.525,-0.321,37.679,1.376,36.858,36.858,26.163,10.695,63.021,1.417,36.858,36.858,25.406,11.452,62.264,0,0,0,0,0,0
38.005338,6,1.336,104.8,36.858,73.517,35.928,14.854,95.521,1.412,36.858,36.858,25.496,11.362,62.354,1.417,36.858,36.858,25.406,11.452,62.264,0,0,0,0,0,0
38.1255671,6,1.412,118.2,36.858,36.858,25.496,11.362,62.354,1.426,36.858,36.858,25.245,11.613,62.103,1.454,36.858,36.858,24.759,12.099,61.617,0,0,0,0,0,0
38.1255541,6,1.412,118.2,36.858,36.858,25.496,11.362,62.354,1.426,36.858,36.858,25.245,11.613,62.103,1.454,36.858,36.858,24.759,12.099,61.617,0,0,0,0,0,0
38.0054736,6,1.336,104.8,36.858,73.517,35.928,14.854,95.521,1.412,36.858,36.858,25.496,11.362,62.354,1.417,36.858,36.858,25.406,11.452,62.264,0,0,0,0,0,0
38.1176743,6,1.086,118.1,36.858,0.500,5.525,-0.321,37.679,1.376,36.858,36.858,26.163,10.695,63.021,1.417,36.858,36.858,25.406,11.452,62.264,0,0,0,0,0,0
37.9776022,6,1.254,118.2,36.858,73.517,38.278,12.747,97.628,1.454,36.858,36.858,24.759,12.099,61.617,1.479,36.858,36.858,24.341,12.517,61.199,0,0,0,0,0,0
37.9775099,6,1.254,118.2,36.858,73.517,38.278,12.747,97.628,1.454,36.858,36.858,24.759,12.099,61.617,1.479,36.858,36.858,24.341,12.517,61.199,0,0,0,0,0,0
38.1223413,6,1.402,118.2,36.858,36.858,25.678,11.180,62.536,1.412,36.858,36.858,25.496,11.362,62.354,1.479,36.858,36.858,24.341,12.517,61.199,0,0,0,0,0,0
38.1223841,6,1.402,118.2,36.858,36.858,25.678,11.180,62.536,1.412,36.858,36.858,25.496,11.362,62.354,1.479,36.858,36.858,24.341,12.517,61.199,0,0,0,0,0,0
38.116933,6,1.086,118.4,36.858,0.500,5.525,-0.321,37.679,1.390,36.858,36.858,25.899,10.959,62.757,1.402,36.858,36.858,25.678,11.180,62.536,0,0,0,0,0,0
0.5723319,1,1.086,118.4,0.500,36.858,5.525,-0.321,37.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.1197318,6,1.086,119.9,36.858,0.500,5.525,-0.321,37.679,1.390,36.858,36.858,25.899,10.959,62.757,1.400,36.858,36.858,25.714,11.144,62.572,0,0,0,0,0,0
38.119723,6,1.086,119.9,36.858,0.500,5.525,-0.321,37.679,1.390,36.858,36.858,25.899,10.959,62.757,1.400,36.858,36.858,25.714,11.144,62.572,0,0,0,0,0,0
38.1168825,6,1.086,118.4,36.858,0.500,5.525,-0.321,37.679,1.390,36.858,36.858,25.899,10.959,62.757,1.402,36.858,36.858,25.678,11.180,62.536,0,0,0,0,0,0
0.5737985,1,1.086,118.1,0.500,36.858,5.525,-0.321,37.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5737987,1,1.086,118.1,0.500,36.858,5.525,-0.321,37.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5777504,1,1.086,119.9,0.500,36.858,5.525,-0.321,37.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5777511,1,1.086,119.9,0.500,36.858,5.525,-0.321,37.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5723324,1,1.086,118.4,0.500,36.858,5.525,-0.321,37.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75.3992205,8,1.254,120.5,73.517,36.858,38.278,12.747,97.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75.3992234,8,1.254,120.5,73.517,36.858,38.278,12.747,97.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75.4435513,8,1.011,104.8,73.517,0.500,7.913,-0.348,74.365,1.336,73.517,36.858,35.928,14.854,95.521,0,0,0,0,0,0,0,0,0,0,0,0
0.4657583,1,1.011,104.8,0.500,73.517,7.913,-0.348,74.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75.4435339,8,1.011,104.8,73.517,0.500,7.913,-0.348,74.365,1.336,73.517,36.858,35.928,14.854,95.521,0,0,0,0,0,0,0,0,0,0,0,0
