name,energy,diag,pca1,pca2,pca3
acetaldehyde_0_015,38.1451859,0.378,0.842622,-0.531091,0.067095
acetaldehyde_0_015,0.5736335,0.005,0.463136,0.636858,-0.53428
acetaldehyde_0_015,0.5804736,0.005,0.264667,0.540074,0.55377
acetaldehyde_0_015,37.9805014,0.378,0.029347,0.10504,0.245169
acetaldehyde_0_015,75.3709398,0.754,0.044385,0.049707,0.439767
acetaldehyde_0_015,0.5767388,0.005,0.038512,0.063805,0.375489
acetaldehyde_0_015,0.580111,0.005,0.033611,0.055668,0.094271
acetaldehyde_10_015,38.1569901,0.378,0.841865,-0.531093,0.072724
acetaldehyde_10_015,0.5769362,0.005,0.464842,0.62911,-0.536195
acetaldehyde_10_015,0.5771687,0.005,0.264301,0.548886,0.544473
acetaldehyde_10_015,37.9779409,0.378,0.028296,0.102949,0.204193
acetaldehyde_10_015,75.3717355,0.754,0.043586,0.049067,0.417056
acetaldehyde_10_015,0.5773094,0.005,0.038505,0.069023,0.428206
acetaldehyde_10_015,0.5781703,0.005,0.033868,0.055818,0.108463
acetaldehyde_1_015,38.1612849,0.378,0.830516,-0.552132,0.049596
acetaldehyde_1_015,0.5754663,0.005,0.485575,0.661587,-0.510098
acetaldehyde_1_015,0.5765712,0.005,0.263172,0.493235,0.635229
acetaldehyde_1_015,37.974948,0.378,0.029363,0.0918,0.170746
acetaldehyde_1_015,75.3654427,0.754,0.042528,0.031957,0.378739
acetaldehyde_1_015,0.581482,0.005,0.037603,0.047291,0.38606
acetaldehyde_1_015,0.5771041,0.005,0.033416,0.049872,0.110385
acetaldehyde_11_015,38.1550313,0.378,0.839118,-0.536417,0.067607
acetaldehyde_11_015,0.5778451,0.005,0.470407,0.638238,-0.526195
acetaldehyde_11_015,0.5779279,0.005,0.263489,0.535349,0.560805
acetaldehyde_11_015,37.9746887,0.378,0.025189,0.09204,0.210054
acetaldehyde_11_015,75.3741449,0.754,0.04339,0.045103,0.405858
acetaldehyde_11_015,0.5746668,0.005,0.038591,0.065293,0.429339
acetaldehyde_11_015,0.5794726,0.005,0.03414,0.059512,0.104267
acetaldehyde_12_015,38.1542128,0.378,0.841409,-0.531773,0.074785
acetaldehyde_12_015,0.5732934,0.005,0.465876,0.629865,-0.542232
acetaldehyde_12_015,0.5793242,0.005,0.263822,0.546003,0.553524
acetaldehyde_12_015,37.9786958,0.378,0.029452,0.108616,0.240063
acetaldehyde_12_015,75.3709909,0.754,0.043284,0.047844,0.408928
acetaldehyde_12_015,0.5789482,0.005,0.038405,0.06804,0.39743
acetaldehyde_12_015,0.5767888,0.005,0.03423,0.060438,0.105825
acetaldehyde_13_015,38.151851,0.378,0.842261,-0.53152,0.068861
acetaldehyde_13_015,0.5724915,0.005,0.464948,0.637813,-0.537108
acetaldehyde_13_015,0.5796596,0.005,0.262427,0.538268,0.561252
acetaldehyde_13_015,37.9799046,0.378,0.030247,0.105218,0.232058
acetaldehyde_13_015,75.3708663,0.754,0.044193,0.052393,0.420744
acetaldehyde_13_015,0.5789299,0.005,0.039202,0.063589,0.385971
acetaldehyde_13_015,0.5778208,0.005,0.03386,0.055577,0.109169
acetaldehyde_14_015,38.1523718,0.378,0.841416,-0.531744,0.074549
acetaldehyde_14_015,0.5764042,0.005,0.465021,0.626789,-0.538199
acetaldehyde_14_015,0.578379,0.005,0.265315,0.549923,0.538956
acetaldehyde_14_015,37.9800171,0.378,0.03037,0.10607,0.218633
acetaldehyde_14_015,75.3699306,0.754,0.043038,0.053394,0.429899
acetaldehyde_14_015,0.5784159,0.005,0.038234,0.068981,0.412465
acetaldehyde_14_015,0.5800212,0.005,0.033856,0.055761,0.107564
acetaldehyde_2_015,38.1449991,0.378,0.841563,-0.532191,0.070706
acetaldehyde_2_015,0.5721721,0.005,0.46557,0.632139,-0.531849
acetaldehyde_2_015,0.5795748,0.005,0.263829,0.546809,0.543425
acetaldehyde_2_015,37.981858,0.378,0.028565,0.090015,0.261315
acetaldehyde_2_015,75.3714322,0.754,0.044739,0.054805,0.442815
acetaldehyde_2_015,0.5739444,0.005,0.038494,0.06377,0.381451
acetaldehyde_2_015,0.5792928,0.005,0.033325,0.054774,0.08337
acetaldehyde_3_015,38.1479674,0.378,0.843421,-0.527042,0.080417
acetaldehyde_3_015,0.5773499,0.005,0.459651,0.612903,-0.542564
acetaldehyde_3_015,0.5799253,0.005,0.267837,0.567327,0.502589
acetaldehyde_3_015,37.9814645,0.378,0.02886,0.11112,0.231641
acetaldehyde_3_015,75.3697835,0.754,0.044438,0.060676,0.432212
acetaldehyde_3_015,0.5778684,0.005,0.039774,0.072399,0.443383
acetaldehyde_3_015,0.5795448,0.005,0.035142,0.058706,0.097516
acetaldehyde_4_015,38.1619995,0.378,0.846101,-0.521105,0.08559
acetaldehyde_4_015,0.5735161,0.005,0.454342,0.600057,-0.547965
acetaldehyde_4_015,0.5730972,0.005,0.268793,0.584996,0.483878
acetaldehyde_4_015,37.9824888,0.378,0.02837,0.110848,0.18142
acetaldehyde_4_015,75.3684861,0.754,0.043498,0.058477,0.441294
acetaldehyde_4_015,0.5771656,0.005,0.039399,0.08045,0.468086
acetaldehyde_4_015,0.5739932,0.005,0.034465,0.063109,0.107299
acetaldehyde_5_015,38.1494276,0.378,0.844894,-0.528409,0.056992
acetaldehyde_5_015,0.5772343,0.005,0.460631,0.651517,-0.529207
acetaldehyde_5_015,0.580948,0.005,0.261322,0.52003,0.580198
acetaldehyde_5_015,37.9647862,0.378,0.032351,0.131131,0.187021
acetaldehyde_5_015,75.3701359,0.754,0.044367,0.044585,0.431085
acetaldehyde_5_015,0.5811966,0.005,0.03875,0.059876,0.380959
acetaldehyde_5_015,0.5807218,0.005,0.03417,0.055774,0.118829
acetaldehyde_6_015,38.157474,0.378,0.84012,-0.533258,0.07513
acetaldehyde_6_015,0.5707254,0.005,0.466909,0.624131,-0.54102
acetaldehyde_6_015,0.5767004,0.005,0.26654,0.552472,0.550786
acetaldehyde_6_015,37.9795783,0.378,0.029026,0.107949,0.204068
acetaldehyde_6_015,75.3705552,0.754,0.042354,0.047743,0.436066
acetaldehyde_6_015,0.5784004,0.005,0.037028,0.062288,0.392689
acetaldehyde_6_015,0.57881,0.005,0.033821,0.055301,0.110842
acetaldehyde_7_015,38.1562222,0.378,0.844656,-0.525684,0.076421
acetaldehyde_7_015,0.5768523,0.005,0.459291,0.62041,-0.539931
acetaldehyde_7_015,0.5779937,0.005,0.264751,0.560599,0.520774
acetaldehyde_7_015,37.981768,0.378,0.029961,0.111534,0.191297
acetaldehyde_7_015,75.3682727,0.754,0.044053,0.053535,0.43919
acetaldehyde_7_015,0.5785076,0.005,0.038686,0.073018,0.437225
acetaldehyde_7_015,0.5782358,0.005,0.034358,0.061959,0.103826
acetaldehyde_8_015,38.1494149,0.378,0.842294,-0.530594,0.071882
acetaldehyde_8_015,0.5756866,0.005,0.464924,0.632919,-0.536556
acetaldehyde_8_015,0.5802691,0.005,0.262525,0.544796,0.551106
acetaldehyde_8_015,37.9788368,0.378,0.028991,0.107597,0.247657
acetaldehyde_8_015,75.370947,0.754,0.043299,0.046997,0.403433
acetaldehyde_8_015,0.5789128,0.005,0.039018,0.063529,0.410943
acetaldehyde_8_015,0.5777907,0.005,0.035055,0.057091,0.101274
acetaldehyde_9_015,38.1474721,0.378,0.842111,-0.530819,0.072424
acetaldehyde_9_015,0.5768337,0.005,0.464361,0.630079,-0.536181
acetaldehyde_9_015,0.5774559,0.005,0.263977,0.548119,0.540289
acetaldehyde_9_015,37.9800614,0.378,0.029263,0.104731,0.259961
acetaldehyde_9_015,75.371177,0.754,0.044768,0.050257,0.403751
acetaldehyde_9_015,0.5788443,0.005,0.039304,0.065244,0.419046
acetaldehyde_9_015,0.5793039,0.005,0.033604,0.055181,0.095698
acetaldehyde_m062x,38.1568053,0.378,0.841643,-0.531545,0.071458
acetaldehyde_m062x,37.979431,0.378,0.46559,0.630454,-0.533418
acetaldehyde_m062x,75.3705254,0.754,0.263514,0.546458,0.546812
acetaldehyde_m062x,0.5787152,0.005,0.029202,0.10356,0.183971
acetaldehyde_m062x,0.5777604,0.005,0.043558,0.048068,0.416169
acetaldehyde_m062x,0.5777551,0.005,0.038743,0.068421,0.439737
acetaldehyde_m062x,0.5789834,0.005,0.034237,0.060462,0.104619
acetoaceticacid_m062x,37.8664485,0.378,0.785788,-0.60432,0.017031
acetoaceticacid_m062x,75.4067457,0.754,0.397859,0.389864,-0.630776
acetoaceticacid_m062x,75.459897,0.754,0.294809,0.499292,0.024595
acetoaceticacid_m062x,0.4657168,0.005,0.226317,0.373259,0.083857
acetoaceticacid_m062x,38.147714,0.378,0.17945,0.173378,0.487719
acetoaceticacid_m062x,0.57347,0.005,0.166766,0.199306,0.453285
acetoaceticacid_m062x,0.5727528,0.005,0.144498,0.138569,0.196133
acetoaceticacid_m062x,37.9700973,0.378,0.037309,-0.01556,0.228294
acetoaceticacid_m062x,75.3750093,0.754,0.036831,0.048117,0.237732
acetoaceticacid_m062x,38.156673,0.378,0.030725,0.033631,0.055081
acetoaceticacid_m062x,0.5741578,0.005,0.025579,0.02899,0.012586
acetoaceticacid_m062x,0.5772053,0.005,0.022844,0.023439,0.00828
acetoaceticacid_m062x,0.5783189,0.005,0.018748,0.011254,0.022233
acetone_0_015,38.1543062,0.378,0.808102,-0.58169,0.026953
acetone_0_015,0.5787511,0.005,0.44522,0.511062,-0.451941
acetone_0_015,0.5775558,0.005,0.277477,0.450052,0.584746
acetone_0_015,0.5807382,0.005,0.250788,0.432872,-0.13114
acetone_0_015,37.9827243,0.378,0.029417,0.010788,0.341793
acetone_0_015,38.1540759,0.378,0.050739,0.034199,0.395048
acetone_0_015,0.5802481,0.005,0.046062,0.052638,0.401485
acetone_0_015,0.5794847,0.005,0.03336,0.04501,0.029938
acetone_0_015,0.5773484,0.005,0.034118,0.045991,0.027038
acetone_0_015,75.3691448,0.754,0.031997,0.048247,-0.013953
acetone_10_015,38.1559781,0.378,0.801282,-0.592961,0.008103
acetone_10_015,0.5793492,0.005,0.458865,0.546248,-0.470772
acetone_10_015,0.5747178,0.005,0.276918,0.41209,0.629539
acetone_10_015,0.579586,0.005,0.249834,0.416521,-0.042183
acetone_10_015,37.9758102,0.378,0.028441,-0.002991,0.329485
acetone_10_015,38.1559972,0.378,0.048819,0.017343,0.377003
